duplicate;original;
Ryan S.J.d. Baker;Ryan S.j.d. Baker;
Carnegie Learning Inc;Carnegie Learning Inc.;
Katholieke Universiteit Leuven;KU Leuven;
K.U.Leuven;KU Leuven;
intelligent tutoring system;intelligent tutoring systems;
bayesian network;bayesian networks;
New_Zeland;New Zealand;
New_Zealand;New Zealand;
UK;United Kingdom;
United_Kingdom;United Kingdom;
South_Korea;South Korea;
JAPAN;Japan;
